Year,Country,TopicTag,YesVotes_Topic,NoVotes_Topic,AbstainVotes_Topic,TotalVotes_Topic
1946,MEX,SOCIAL DEVELOPMENT,3,0,0,3
1946,NIC,DISCRIMINATION,0,1,0,1
1946,NIC,GENERAL AND NATIONAL LAW,1,0,0,1
1946,NIC,HUMAN RIGHTS,2,1,0,3
1946,NIC,HUMANITARIAN AID AND RELIEF,3,0,0,3
1946,NIC,INTERNATIONAL LAW,1,0,0,1
1946,NIC,INTERNATIONAL RELATIONS,6,1,0,7
1946,NIC,POLITICAL AND LEGAL QUESTIONS,15,2,1,18
1946,NIC,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,NIC,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,3,0,0,3
1946,NIC,SOCIAL CONDITIONS AND EQUITY,2,2,0,4
1946,NIC,SOCIAL DEVELOPMENT,2,1,0,3
1946,NLD,DISCRIMINATION,0,1,0,1
1946,NLD,GENERAL AND NATIONAL LAW,1,0,0,1
1946,NLD,HUMAN RIGHTS,2,1,0,3
1946,NLD,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,NLD,INTERNATIONAL LAW,1,0,0,1
1946,NLD,INTERNATIONAL RELATIONS,6,0,1,7
1946,NLD,POLITICAL AND LEGAL QUESTIONS,15,1,3,19
1946,NLD,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,NLD,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,NLD,SOCIAL CONDITIONS AND EQUITY,2,2,0,4
1946,NLD,SOCIAL DEVELOPMENT,2,1,0,3
1946,NOR,DISCRIMINATION,2,0,0,2
1946,NOR,GENERAL AND NATIONAL LAW,0,1,1,2
1946,NOR,HUMAN RIGHTS,4,0,0,4
1946,NOR,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,NOR,INTERNATIONAL LAW,1,0,0,1
1946,NOR,INTERNATIONAL RELATIONS,6,0,1,7
1946,NOR,POLITICAL AND LEGAL QUESTIONS,18,1,2,21
1946,NOR,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,NOR,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,NOR,SOCIAL CONDITIONS AND EQUITY,5,0,0,5
1946,NOR,SOCIAL DEVELOPMENT,3,0,0,3
1946,NZL,DISCRIMINATION,1,1,0,2
1946,NZL,GENERAL AND NATIONAL LAW,1,1,0,2
1946,NZL,HUMAN RIGHTS,3,1,0,4
1946,NZL,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,NZL,INTERNATIONAL LAW,1,0,0,1
1946,NZL,INTERNATIONAL RELATIONS,7,0,0,7
1946,NZL,POLITICAL AND LEGAL QUESTIONS,19,2,1,22
1946,NZL,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,NZL,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,NZL,SOCIAL CONDITIONS AND EQUITY,3,2,0,5
1946,NZL,SOCIAL DEVELOPMENT,2,1,0,3
1946,PAN,DISCRIMINATION,1,0,0,1
1946,PAN,GENERAL AND NATIONAL LAW,1,0,0,1
1946,PAN,HUMAN RIGHTS,3,0,0,3
1946,PAN,HUMANITARIAN AID AND RELIEF,3,0,0,3
1946,PAN,INTERNATIONAL LAW,1,0,0,1
